Localidade	Ano	Cursos Presenciais/Federal	Cursos Presenciais/Estadual	Cursos Presenciais/Municipal	Cursos Presenciais/Particular	Cursos Presenciais/Comunitária, Confessional ou Filantrópica	Educação Profissional/Estadual	Educação Profissional/Federal	Educação Profissional/Municipal	Educação Profissional/Particular	Ensino Médio/Estadual	Ensino Médio/Federal	Ensino Médio/Municipal	Ensino Médio/Particular	EJA/Municipal	EJA/Estadual	EJA/Federal	EJA/Particular
Cezarina	2005										379			31	266	98		
Cezarina	2006										407			34	104	80		
Cezarina	2007										389			33	57	48		
Cezarina	2008										380			32	70	61		
Cezarina	2009										317			28	99	72		
Cezarina	2010						 	 	 	 	338	 	 	23	72	59	 	 
Cezarina	2011										342			18	76	80		
Cezarina	2012										348			22	39	50		
Cezarina	2013										297			12		4		
Cezarina	2014										355							
Cezarina	2015										284							
Cezarina	2016										285							
Cezarina	2017										216					35		
Cezarina	2018						0	0	0	0	263	0	0	0	0	54	0	0
Chapadão do Céu	2002										206			17	122			
Chapadão do Céu	2003										223			38	97			
Chapadão do Céu	2004										281			49	64			
Chapadão do Céu	2005										277			47	88			
Chapadão do Céu	2006										267			52	72			
Chapadão do Céu	2007										252			48	96			
Chapadão do Céu	2008										274			47	59			
Chapadão do Céu	2009										322			47	26			
Chapadão do Céu	2010						 	 	 	 	287	 	 	50	45	 	 	 
Chapadão do Céu	2011										285			49	39			
Chapadão do Céu	2012										299			39	73			
Chapadão do Céu	2013										273			48	59			
Chapadão do Céu	2014										323			45	56			
Chapadão do Céu	2015										335			53	62			
Chapadão do Céu	2016										330			65	77			
Chapadão do Céu	2017										406			70	120	37		
Chapadão do Céu	2018						0	0	0	0	390	0	0	53	79	45	0	0
Cidade Ocidental	2002										2478			157	1781			161
Cidade Ocidental	2003										2780			137	1873			143
Cidade Ocidental	2004										3142			158	1413			40
Cidade Ocidental	2005										3025			208	937			46
Cidade Ocidental	2006										2668			188	870			
Cidade Ocidental	2007										2715			194	1016			
Cidade Ocidental	2008										2485			147	960			
Cidade Ocidental	2009										2645			114	1152			
Cidade Ocidental	2010						 	 	 	 	2473	 	 	133	1013	145	 	 
Cidade Ocidental	2011										2163			126	748	254		
Cidade Ocidental	2012										2337			133	1021	311		
Cidade Ocidental	2013										2452			168	820	203		
Cidade Ocidental	2014										2426			191	814	225		
Cidade Ocidental	2015										2513			170	738	265		
Cidade Ocidental	2016										2376			175	503	302		
Cidade Ocidental	2017										2101			169	753	481		
Cidade Ocidental	2018						0	0	0	0	2330	0	0	166	662	555	0	0
Cocalzinho de Goiás	2002										761					325		
Cocalzinho de Goiás	2003										849				285	452		
Cocalzinho de Goiás	2004										775				203	392		
Cocalzinho de Goiás	2005										852				258	327		
Cocalzinho de Goiás	2006										805				228	138		
Cocalzinho de Goiás	2007										753				132	93		
Cocalzinho de Goiás	2008										722				221	55		
Cocalzinho de Goiás	2009										727				243	34		
Cocalzinho de Goiás	2010						 	 	 	 	659	 	 	 	188	34	 	 
Cocalzinho de Goiás	2011										746				164	42		
Cocalzinho de Goiás	2012										726				36	35		
Cocalzinho de Goiás	2013										774				14	12		
Cocalzinho de Goiás	2014										767							
Cocalzinho de Goiás	2015										777							
Cocalzinho de Goiás	2016										785							
Cocalzinho de Goiás	2017										684					83		
Cocalzinho de Goiás	2018						0	0	0	0	743	0	0	0	0	88	0	0
Colinas do Sul	2002										159							
Colinas do Sul	2003										124				101			
Colinas do Sul	2004										167				108			
Colinas do Sul	2005										150				158			
Colinas do Sul	2006										148				60			
Colinas do Sul	2007										163				35			
Colinas do Sul	2008										146				33			
Colinas do Sul	2009										179				41			
Colinas do Sul	2010						 	 	 	 	164	 	 	 	55	 	 	 
Colinas do Sul	2011										161				27			
Colinas do Sul	2012										170				15			
Colinas do Sul	2013										157				17			
Colinas do Sul	2014										195							
Colinas do Sul	2015										193							
Colinas do Sul	2016										174							
Colinas do Sul	2017										142					24		
Colinas do Sul	2018						0	0	0	0	131	0	0	0	0	71	0	0
Córrego do Ouro	2002										142					21		
Córrego do Ouro	2003										140					18		
Córrego do Ouro	2004										181				10			
Córrego do Ouro	2005										174							
Córrego do Ouro	2006										140							
Córrego do Ouro	2007										132							
Córrego do Ouro	2008										115							
Córrego do Ouro	2009										99							
Córrego do Ouro	2010						 	 	 	 	89	 	 	 	 	 	 	 
Córrego do Ouro	2011										100							
Córrego do Ouro	2012										136							
Córrego do Ouro	2013										103							
Córrego do Ouro	2014										102							
Córrego do Ouro	2015										103							
Córrego do Ouro	2016										90							
Córrego do Ouro	2017										79							
Córrego do Ouro	2018						0	0	0	0	79	0	0	0	0	0	0	0
Corumbá de Goiás	2002										366							
Corumbá de Goiás	2003										352							
Corumbá de Goiás	2004										388			4				
Corumbá de Goiás	2005										400			17				
Corumbá de Goiás	2006										422			23				
Corumbá de Goiás	2007										414			23				
Corumbá de Goiás	2008										385			18				
Corumbá de Goiás	2009										380							
Corumbá de Goiás	2010						 	 	 	 	410	 	 	 	 	 	 	 
Corumbá de Goiás	2011										358					4		
Corumbá de Goiás	2012										347					7		
Corumbá de Goiás	2013										333					6		
Corumbá de Goiás	2014										305					15		
Corumbá de Goiás	2015										301					9		
Corumbá de Goiás	2016										294					15		
Corumbá de Goiás	2017										304					8		
Corumbá de Goiás	2018						0	0	0	0	322	0	0	0	0	7	0	0
Corumbaíba	2002										237		20			330		
Corumbaíba	2003										176		17			460		
Corumbaíba	2004										219		20			319		
Corumbaíba	2005										284		19			225		
Corumbaíba	2006										320		31			110		
Corumbaíba	2007										344		39			32		
Corumbaíba	2008										325		42			14		
Corumbaíba	2009										274		24					
Corumbaíba	2010						 	 	 	 	322	 	26	 	 	18	 	 
Corumbaíba	2011										261		14			13		
Corumbaíba	2012										328		13			14		
Corumbaíba	2013										298		19			32		
Corumbaíba	2014										303		21			34		
Corumbaíba	2015										247		11			10		
Corumbaíba	2016										227		9			17		
Corumbaíba	2017										203		17			41		
Corumbaíba	2018						0	0	0	0	226	0	23	0	0	39	0	0
Cristalina	2002		102		87						1645		112	83	229	335		155
Cristalina	2003		102		46						1481		48	89	626	409		
Cristalina	2004		303		22						1751			112	609	687		
Cristalina	2005		247		95						1601			110	354	646		
Cristalina	2006		157		82						1652			71	321	613		
Cristalina	2007		210		145						1567			55	125	446		
Cristalina	2008		98		187						1576			75	237	244		
Cristalina	2009		70		251						1650			77	310	445		
Cristalina	2010			59	298		 	 	 	 	1765	 	 	111	272	425	 	 
Cristalina	2011			76	305						1730			108	282	393		
Cristalina	2012			55	327						1709			122	346	278		
Cristalina	2013			50	231						1739			122	361	239		
Cristalina	2014										1554			147	282	237		
Cristalina	2015							118			1480	78		142	401	277		77
Cristalina	2016						50	164			1491	147		138	437	182		96
Cristalina	2017						28	234			1518	215		110	467	229		93
Cristalina	2018						163	238	0	0	1710	224	0	96	321	238	0	114
Cristianópolis	2002										139							
Cristianópolis	2003										133							
Cristianópolis	2004										148							
Cristianópolis	2005										160							
Cristianópolis	2006										173					20		
Cristianópolis	2007										173					13		
Cristianópolis	2008										167							
Cristianópolis	2009										168							
Cristianópolis	2010						 	 	 	 	153	 	 	 	 	 	 	 
Cristianópolis	2011										147				8			
Cristianópolis	2012										151							
Cristianópolis	2013										130							
Cristianópolis	2014										126							
Cristianópolis	2015										129							
Cristianópolis	2016										127							
Cristianópolis	2017										114					4		
Cristianópolis	2018						0	0	0	0	126	0	0	0	0	16	0	0
Crixás	2002		360								752			83	372	309		
Crixás	2003		455								638			90	331	508		40
Crixás	2004		409								609			109	207	484		42
Crixás	2005		381								577			85	338	457		
Crixás	2006		278								584			95	408	300		
Crixás	2007		304								605			110	255	192		
Crixás	2008		322								608			94	225	185		
Crixás	2009		244								634			100	247	126		
Crixás	2010		244				 	 	 	 	660	 	 	105	209	218	 	 
Crixás	2011		241								625			102	219	134		
Crixás	2012		251								633			110	212	85		
Crixás	2013		225								636			96	212	111		
Crixás	2014										597			94	226	134		
Crixás	2015										570			94	170	97		
Crixás	2016										582			111	110	124		
Crixás	2017										575			124	175	172		
Crixás	2018						0	0	0	0	527	0	0	115	122	164	0	0
Cromínia	2002										245							
Cromínia	2003										323							
Cromínia	2004										349							
Cromínia	2005										287							
Cromínia	2006										255					48		
Cromínia	2007										233				8	27		
Cromínia	2008										227							
Cromínia	2009										217							
Cromínia	2010						 	 	 	 	202	 	 	 	 	31	 	 
Cromínia	2011										184					19		
Cromínia	2012										141							
Cromínia	2013										130							
Cromínia	2014										127							
Cromínia	2015										182							
Cromínia	2016										174							
Cromínia	2017										152					17		
Cromínia	2018						0	0	0	0	135	0	0	0	0	13	0	0
Cumari	2002										197					117		
Cumari	2003										188					171		
Cumari	2004										142					186		
Cumari	2005										140					171		
Cumari	2006										124					115		
Cumari	2007										129					56		
Cumari	2008										123					12		
Cumari	2009										119							
Cumari	2010						 	 	 	 	129	 	 	 	 	 	 	 
Cumari	2011										132							
Cumari	2012										117							
Cumari	2013										110							
Cumari	2014										88							
Cumari	2015										81							
Cumari	2016										71							
Cumari	2017										66							
Cumari	2018						0	0	0	0	66	0	0	0	0	0	0	0
Damianópolis	2002										233				149			
Damianópolis	2003										233				188			
Damianópolis	2004										243				93			
Damianópolis	2005										274				91			
Damianópolis	2006										281				58			
Damianópolis	2007										251				61			
Damianópolis	2008										246				33			
Damianópolis	2009										248							
Damianópolis	2010						 	 	 	 	221	 	 	 	 	 	 	 
Damianópolis	2011										215							
Damianópolis	2012										210							
Damianópolis	2013										177							
Damianópolis	2014										180							
Damianópolis	2015										146							
Damianópolis	2016										159							
Damianópolis	2017										166							
Damianópolis	2018						0	0	0	0	173	0	0	0	0	0	0	0
Damolândia	2002										143					60		
Damolândia	2003										152					40		
Damolândia	2004										198							
Damolândia	2005										186					28		
Damolândia	2006										163							
Damolândia	2007										155							
Damolândia	2008										132							
Damolândia	2009										146							
Damolândia	2010						 	 	 	 	145	 	 	 	 	 	 	 
Damolândia	2011										151							
Damolândia	2012										139							
Damolândia	2013										125							
Damolândia	2014										127							
Damolândia	2015										127							
Damolândia	2016										119							
Damolândia	2017										89							
Damolândia	2018						0	0	0	0	73	0	0	0	0	0	0	0
Davinópolis	2002										109				20	44		
Davinópolis	2003										104				22	51		
Davinópolis	2004										111				10	76		
Davinópolis	2005										102					80		
Davinópolis	2006										77					40		
Davinópolis	2007										100							
Davinópolis	2008										84							
Davinópolis	2009										106							
Davinópolis	2010						 	 	 	 	91	 	 	 	 	 	 	 
Davinópolis	2011										76							
Davinópolis	2012										58							
Davinópolis	2013										66							
Davinópolis	2014										46							
Davinópolis	2015										57							
Davinópolis	2016										62							
Davinópolis	2017										46					34		
Davinópolis	2018						0	0	0	0	52	0	0	0	0	39	0	0
Diorama	2002										95					26		
Diorama	2003										106					18		
Diorama	2004										152					22		
Diorama	2005										149					20		
Diorama	2006										155					60		
Diorama	2007										141					60		
Diorama	2008										137					30		
Diorama	2009										145					45		
Diorama	2010						 	 	 	 	149	 	 	 	 	54	 	 
Diorama	2011										141					44		
Diorama	2012										107					32		
Diorama	2013										66					18		
Diorama	2014										66					13		
Diorama	2015										75					16		
Diorama	2016										90					5		
Diorama	2017										60					24		
Diorama	2018						0	0	0	0	62	0	0	0	0	22	0	0
Divinópolis de Goiás	2002										285				66	175		
Divinópolis de Goiás	2003										309				65	184		
Divinópolis de Goiás	2004										313				133	196		
Divinópolis de Goiás	2005										310				98	147		
Divinópolis de Goiás	2006										281				51	117		
Divinópolis de Goiás	2007										274				53	67		
Divinópolis de Goiás	2008										260				31	50		
Divinópolis de Goiás	2009										264					39		
Divinópolis de Goiás	2010						 	 	 	 	306	 	 	 	 	20	 	 
Divinópolis de Goiás	2011										302					16		
Divinópolis de Goiás	2012										260							
Divinópolis de Goiás	2013										252							
Divinópolis de Goiás	2014										286							
Divinópolis de Goiás	2015										257							
Divinópolis de Goiás	2016										213					20		
Divinópolis de Goiás	2017										123					95		
Divinópolis de Goiás	2018						0	0	0	0	165	0	0	0	0	95	0	0
Doverlândia	2002										234				94	166		
Doverlândia	2003										258				26	181		
Doverlândia	2004										309					195		
Doverlândia	2005										329					165		
Doverlândia	2006										332					150		
Doverlândia	2007										328					60		
Doverlândia	2008										317				27	62		
Doverlândia	2009										339				18	72		
Doverlândia	2010						 	 	 	 	334	 	 	 	9	139	 	 
Doverlândia	2011										327				17	84		
Doverlândia	2012										315					116		
Doverlândia	2013										299					58		
Doverlândia	2014										262					89		
Doverlândia	2015										312					91		
Doverlândia	2016										266					62		
Doverlândia	2017										242					90		
Doverlândia	2018						0	0	0	0	243	0	0	0	0	127	0	0
Edealina	2002										169				117	82		
Edealina	2003										184				113	39		
Edealina	2004										155				94	39		
Edealina	2005										143				57	42		
Edealina	2006										121				54	28		
Edealina	2007										164				14	16		
Edealina	2008										141					8		
Edealina	2009										138							
Edealina	2010						 	 	 	 	150	 	 	 	 	 	 	 
Edealina	2011										135					42		
Edealina	2012										132					25		
Edealina	2013										148					13		
Edealina	2014										143					10		
Edealina	2015										144					23		
Edealina	2016										149					18		
Edealina	2017										112					18		
Edealina	2018						0	0	0	0	127	0	0	0	0	18	0	0
Edéia	2002		400								330			67	66	204		
Edéia	2003		233								369			53	55	256		
Edéia	2004		176								357			32	44	165		
Edéia	2005		172								395			35	31	105		
Edéia	2006		214								389			39		88		
Edéia	2007		221								422			46	41	67		
Edéia	2008		230								354			43	50	51		
Edéia	2009		205								420			44	52	44		
Edéia	2010		188				 	 	 	 	444	 	 	47	37	49	 	 
Edéia	2011		205								470			39	61	47		
Edéia	2012		200								500			40	68	89		
Edéia	2013		168								455			46	68	9		
Edéia	2014										499			44	58			
Edéia	2015										502			30	98			
Edéia	2016										435			32	73			
Edéia	2017										394			27	66	21		
Edéia	2018						0	0	0	0	423	0	0	35	80	42	0	0
Estrela do Norte	2002										155					115		
Estrela do Norte	2003										150				49	164		
Estrela do Norte	2004										159					96		
Estrela do Norte	2005										201					62		
Estrela do Norte	2006										177					92		
Estrela do Norte	2007										167					79		
Estrela do Norte	2008										152				13	80		
Estrela do Norte	2009										134				14	123		
Estrela do Norte	2010						 	 	 	 	136	 	 	 	7	59	 	 
Estrela do Norte	2011										154				10	42		
Estrela do Norte	2012										144					41		
Estrela do Norte	2013										168					20		
Estrela do Norte	2014										175					35		
Estrela do Norte	2015										147					18		
Estrela do Norte	2016										103					21		
Estrela do Norte	2017										104					9		
Estrela do Norte	2018						0	0	0	0	102	0	0	0	0	0	0	0
Faina	2002										372							
Faina	2003										377				92			
Faina	2004										348				86			35
Faina	2005										336				70	36		31
Faina	2006										364				70	16		
Faina	2007										302				86			
Faina	2008										273				59			
Faina	2009										255				95			
Faina	2010						 	 	 	 	283	 	 	 	64	 	 	 
Faina	2011										269				59	115		
Faina	2012										296				24	151		
Faina	2013										280					117		
Faina	2014										264					108		
Faina	2015										252					139		
Faina	2016										211					74		
Faina	2017										177					53		
Faina	2018						0	0	0	0	178	0	0	0	0	54	0	0
Fazenda Nova	2002										362							
Fazenda Nova	2003										290					27		
Fazenda Nova	2004										299			7		26		
Fazenda Nova	2005										338					29		
Fazenda Nova	2006										287					19		
Fazenda Nova	2007										296				20	11		
Fazenda Nova	2008										259				17	7		
Fazenda Nova	2009										281					11		
Fazenda Nova	2010						 	 	 	 	280	 	 	 	35	 	 	 
Fazenda Nova	2011										254				40			
Fazenda Nova	2012										262				38			
Fazenda Nova	2013										250				26			
Fazenda Nova	2014										247				10			
Fazenda Nova	2015										222							
Fazenda Nova	2016										226							
Fazenda Nova	2017										200					12		
Fazenda Nova	2018						0	0	0	0	171	0	0	0	0	7	0	0
Firminópolis	2002										498			32		112		
Firminópolis	2003										490			13		165		
Firminópolis	2004										472			27		231		
Firminópolis	2005										454					195		
Firminópolis	2006										486					166		
Firminópolis	2007										390					118		
Firminópolis	2008										382					78		
Firminópolis	2009										382				12	71		
Firminópolis	2010						 	 	 	 	407	 	 	 	 	51	 	 
Firminópolis	2011										361					47		
Firminópolis	2012										318					45		
Firminópolis	2013										275					34		
Firminópolis	2014										347					16		
Firminópolis	2015										312					33		
Firminópolis	2016										311					38		
Firminópolis	2017										218					62		
Firminópolis	2018						0	0	0	0	271	0	0	0	0	71	0	0
Flores de Goiás	2002										231				170			
Flores de Goiás	2003										293				261	178		
Flores de Goiás	2004										367				154	225		
Flores de Goiás	2005										324				216	239		
Flores de Goiás	2006										363				149	190		
Flores de Goiás	2007										376				155	107		
Flores de Goiás	2008										345				85	106		
Flores de Goiás	2009										423				162	158		
Flores de Goiás	2010						 	 	 	 	383	 	 	 	73	99	 	 
Flores de Goiás	2011										336				46	37		
Flores de Goiás	2012										369				37	26		
Flores de Goiás	2013										363					42		
Flores de Goiás	2014										356					17		
Flores de Goiás	2015										365					13		
Flores de Goiás	2016										372					29		
Flores de Goiás	2017										359					45		
Flores de Goiás	2018						0	0	0	0	372	0	0	0	0	37	0	0
Formosa	2002		1607		223						4083			1397	685	647		71
Formosa	2003		1691		652						3559			1338	1330	1121		
Formosa	2004		1749		1008						3879			1220	1248	1779		
Formosa	2005		1657		1719						3909			1138	1163	1469		33
Formosa	2006		1401		1864						4000			997	712	1215		37
Formosa	2007		1180		1949						3864			920	628	1173		
Formosa	2008		1207		2202						3651			942	647	937		
Formosa	2009		939		2335						4030			952	570	1013		17
Formosa	2010	59	957		2509		 	 	 	 	4129	 	 	887	639	900	 	14
Formosa	2011	92	973		2339			75			4144	160		790	706	677	67	8
Formosa	2012	130	814		2718			94			4021	249		754	763	661	75	
Formosa	2013	197	791		2375			103			3867	275		832	486	559	118	
Formosa	2014							71			3505	291		800	558	615	139	
Formosa	2015							490		14	3572	260		766	519	694	150	
Formosa	2016							464			3547	205		643	433	628	148	
Formosa	2017							350			3479	214		600	455	777	123	
Formosa	2018						0	337	0	0	3662	224	0	491	384	900	112	0
Formoso	2002										287					207		
Formoso	2003										362					164		
Formoso	2004										342					138		
Formoso	2005										306					119		
Formoso	2006										282					123		
Formoso	2007										236				27	95		
Formoso	2008										228				34	106		
Formoso	2009										220				19	56		
Formoso	2010						 	 	 	 	232	 	 	 	11	60	 	 
Formoso	2011										239				7	66		
Formoso	2012										230				11	55		
Formoso	2013										193				10	48		
Formoso	2014										171				10	33		
Formoso	2015										186					35		
Formoso	2016										192					21		
Formoso	2017										181					35		
Formoso	2018						0	0	0	0	178	0	0	0	0	18	0	0
Gameleira de Goiás	2002										84							
Gameleira de Goiás	2003										106							
Gameleira de Goiás	2004										117				42			
Gameleira de Goiás	2005										127					66		
Gameleira de Goiás	2006										142				31			
Gameleira de Goiás	2007										151							
Gameleira de Goiás	2008										154							
Gameleira de Goiás	2009										151							
Gameleira de Goiás	2010						 	 	 	 	116	 	 	 	17	 	 	 
Gameleira de Goiás	2011										135				15			
Gameleira de Goiás	2012										161				10			
Gameleira de Goiás	2013										175				10			
Gameleira de Goiás	2014										155				16			
Gameleira de Goiás	2015										127				21			
Gameleira de Goiás	2016										132				11			
Gameleira de Goiás	2017										140					6		
Gameleira de Goiás	2018						0	0	0	0	131	0	0	0	0	8	0	0
Goianápolis	2002										398					354		
Goianápolis	2003										406					381		
Goianápolis	2004										368					365		
Goianápolis	2005										408					299		
Goianápolis	2006										465					191		
Goianápolis	2007										509				33	181		
Goianápolis	2008										492				54	166		
Goianápolis	2009										487				45	128		
Goianápolis	2010						 	 	 	 	477	 	 	 	41	186	 	 
Goianápolis	2011										503				45	120		
Goianápolis	2012										395				52	113		
Goianápolis	2013										457				41	111		
Goianápolis	2014										477				41	156		
Goianápolis	2015										470				18	116		
Goianápolis	2016										458				24	132		
Goianápolis	2017										404				55	150		
Goianápolis	2018						0	0	0	0	434	0	0	0	38	176	0	0
Goiandira	2002										277					191		
Goiandira	2003										251					251		
Goiandira	2004										228					264		
Goiandira	2005										209					244		
Goiandira	2006										208					236		
Goiandira	2007		42								174					161		
Goiandira	2008		32								182					66		
Goiandira	2009		33								200					24		
Goiandira	2010						 	 	 	 	208	 	 	 	 	 	 	 
Goiandira	2011										230							
Goiandira	2012										199							
Goiandira	2013										176							
Goiandira	2014										154							
Goiandira	2015										191							
Goiandira	2016										179							
Goiandira	2017										157					15		
Goiandira	2018						0	0	0	0	173	0	0	0	0	52	0	0
Goianésia	2002		608								2209			28	355	962		177
Goianésia	2003		713								2319			24	297	963		189
Goianésia	2004		663							50	2456			43	237	853		242
Goianésia	2005		587		136					63	2417			66	192	709		230
Goianésia	2006		675		360					66	2497			60	147	734		142
Goianésia	2007		741		492					80	2719			52	188	836		80
Goianésia	2008		732		502					111	2802			57	201	760		59
Goianésia	2009		490		522		118			51	2922			49	125	624		
Goianésia	2010		588		705		63	 	 	141	2989	 	 	65	114	590	 	 
Goianésia	2011		596		795		145			142	2816			81	133	614		
Goianésia	2012		589		1053		150				2738			90	99	589		
Goianésia	2013		561		1365		159			40	2394			57	159	684		
Goianésia	2014						196			31	2437			113	102	539		
Goianésia	2015						302			36	2524			127	87	477		
Goianésia	2016						414			38	2614			132	79	556		
Goianésia	2017						432			52	2444			122	78	744		
Goianésia	2018						654	0	0	49	2558	0	0	120	98	713	0	0
Goiânia	2002	12140	2315		16191	33490					56682	837		15411	507	13718		8951
Goiânia	2003	12471	2860		22438	36250					52108	698		14624	293	16779		7808
Goiânia	2004	12418	2740		22912	37003	95	291		3293	50661	676		17154	403	19191		5357
Goiânia	2005	12234	1915		24548	38311	95	797		3205	47426	674		17587	407	18659		3519
Goiânia	2006	13078	2091		24352	38844	221	809		4112	48338	683		17289	469	16731		1411
Goiânia	2007	13040	2095		27253	35375	1591	640		4092	48183	548		16477	523	13276	48	381
Goiânia	2008	13111	1137		30724	31494	875	618		3708	44847	504		16804	997	10642	83	547
Goiânia	2009	14409	1063		42689	20128	960	367		4678	44704	579		16929	517	10405	119	222
Goiânia	2010	15672	889		70115		641	262	 	4901	44632	795	 	18022	2952	10686	133	180
Goiânia	2011	17755	1035		81975		1150	302		4405	42736	970		18164	2758	8692	135	351
Goiânia	2012	17702	1017		78927		534	295			42527	1008		18678	2509	7270	132	240
Goiânia	2013	18123	1061		84703		280	271		4737	41640	970		18780	8390	5944	203	1531
Goiânia	2014						472	213		4531	40082	970		18727	7236	5514	295	1484
Goiânia	2015						866	1336		6550	39660	936		18112	6511	5261	265	1087
Goiânia	2016						553	1485		4750	37410	985		17006	6512	5393	272	1922
Goiânia	2017						622	1763		5418	32385	1189		16464	6847	8011	397	2451
Goiânia	2018						1199	1717	0	5924	33100	1152	0	15555	6220	7957	328	2045
Goianira	2002										838							
Goianira	2003										964				297	178		
Goianira	2004										1068				494	324		
Goianira	2005										894				395	423		
Goianira	2006										983				477	298		
Goianira	2007										1111				399	157		
Goianira	2008										903				346	131		
Goianira	2009										886				250	218		
Goianira	2010						 	 	 	 	1074	 	 	 	153	236	 	 
Goianira	2011										1083				72	229		
Goianira	2012										1420				39	147		
Goianira	2013										1428				52	120		
Goianira	2014										1663				60	164		
Goianira	2015										1735				60	155		
Goianira	2016										1873				67	165		
Goianira	2017										1600				70	250		
Goianira	2018						0	0	0	0	1700	0	0	0	54	340	0	0
Goiás	2002	267	748		87						1213			80	209	394		
Goiás	2003	280	821		152						1238			142	145	527		
Goiás	2004	276	727		172					10	1078			147	108	783		
Goiás	2005	285	732							64	939			160	89	788		
Goiás	2006	297	704							62	1042			165	76	564		
Goiás	2007	309	620								981			95	36	424		
Goiás	2008	378	633						93		862			107	69	234		
Goiás	2009	418	647				44		77		950			88	38	209		
Goiás	2010	474	681				28	 	 	 	933	 	 	88	58	290	 	 
Goiás	2011	544	629				45				922			90	60	193		
Goiás	2012	565	612				22				763	53		95	46	121		
Goiás	2013	523	569				47				656	107		77	42	138	16	
Goiás	2014						47				649	171		66	37	118	8	
Goiás	2015						80	218			780	184		95	15	101	34	
Goiás	2016						110	223			696	201		104		123	22	
Goiás	2017						73	200			618	165		92	8	157	35	
Goiás	2018						134	187	0	0	630	160	0	70	0	201	38	0
Goiatuba	2002		387	1311							1134		55	149	363	335		140
Goiatuba	2003		381	1313							1222		54	146	552	300		88
Goiatuba	2004		37	1475							1125		45	146	625	387		108
Goiatuba	2005		33	1974							1042		34	127	570	512		46
Goiatuba	2006			2041							1178		36	110	393	489		54
Goiatuba	2007			2334							1155		23	98	212	298		
Goiatuba	2008			2082							1072		33	102	193	202		
Goiatuba	2009			1906			100				1122		36	74	224	269		18
Goiatuba	2010			2606			32	 	 	 	1055	 	35	91	190	366	 	 
Goiatuba	2011			2452			208				954		35	86	114	207		
Goiatuba	2012			2277			71				994		39	83	122	227		
Goiatuba	2013			2568			97				1075		38	76	74	182		
Goiatuba	2014						54				1043		42	62	147	160		
Goiatuba	2015						78				1096		38	68	147	249		
Goiatuba	2016						83				994		43	91	156	196		
Goiatuba	2017						74				957		39	65		325		
Goiatuba	2018						132	0	0	0	917	0	33	61	0	494	0	0
Gouvelândia	2002										168				100	199		
Gouvelândia	2003										157				136	69		
Gouvelândia	2004										174				146	45		
Gouvelândia	2005										149				33	54		
Gouvelândia	2006										145				176	66		
Gouvelândia	2007										189				129	36		
Gouvelândia	2008										172				132	45		
Gouvelândia	2009										171				63	33		
Gouvelândia	2010						 	 	 	 	171	 	 	 	48	38	 	 
Gouvelândia	2011										192				45	29		
Gouvelândia	2012										160				94	27		
Gouvelândia	2013										157				53	14		
Gouvelândia	2014										160				33	23		
Gouvelândia	2015										146				16	30		
Gouvelândia	2016										144							
Gouvelândia	2017										137							
Gouvelândia	2018						0	0	0	0	142	0	0	0	0	0	0	0
Guapó	2002										544			11		162		60
Guapó	2003										586			7	109	164		94
Guapó	2004										451			13	68	358		26
Guapó	2005										393				65	402		30
Guapó	2006										441				80	324		10
Guapó	2007										468			3	38	188		9
Guapó	2008										449			15	32	149		
Guapó	2009										410			18	50	160		
Guapó	2010						 	 	 	 	401	 	 	29	56	152	 	 
Guapó	2011										511			6	47	102		
Guapó	2012										475			8	40	104		
Guapó	2013										504				43	91		
Guapó	2014										510				38	102		
Guapó	2015										540					110		
Guapó	2016										534					104		
Guapó	2017										363					161		
Guapó	2018						0	0	0	0	345	0	0	0	28	235	0	0
Guaraíta	2002										178							
Guaraíta	2003										151							
Guaraíta	2004										168							
Guaraíta	2005										173							
Guaraíta	2006										172							
Guaraíta	2007										185							
Guaraíta	2008										193							
Guaraíta	2009										191							
Guaraíta	2010						 	 	 	 	154	 	 	 	111	 	 	 
Guaraíta	2011										100				114			
Guaraíta	2012										99				105			
Guaraíta	2013										81				105			
Guaraíta	2014										64				80			
Guaraíta	2015										68				53			
Guaraíta	2016										68				33			
Guaraíta	2017										69				32	13		
Guaraíta	2018						0	0	0	0	70	0	0	0	34	6	0	0
Guarani de Goiás	2002										353				254	61		
Guarani de Goiás	2003										337				329	76		
Guarani de Goiás	2004										275				230	124		
Guarani de Goiás	2005										251				111	77		
Guarani de Goiás	2006										236				81	46		
Guarani de Goiás	2007										207				37	39		
Guarani de Goiás	2008										204				40	46		
Guarani de Goiás	2009										205				58	48		
Guarani de Goiás	2010						 	 	 	 	208	 	 	 	46	45	 	 
Guarani de Goiás	2011										213				17	47		
Guarani de Goiás	2012										180					44		
Guarani de Goiás	2013										175				15	41		
Guarani de Goiás	2014										199				12	21		
Guarani de Goiás	2015										205				12	16		
Guarani de Goiás	2016										187				9	16		
Guarani de Goiás	2017										142					54		
Guarani de Goiás	2018						0	0	0	0	168	0	0	0	0	54	0	0
Guarinos	2002										126							
Guarinos	2003										141							
Guarinos	2004										146					23		
Guarinos	2005										121					26		
Guarinos	2006										129					32		
Guarinos	2007										99					39		
Guarinos	2008										84					11		
Guarinos	2009										97					14		
Guarinos	2010						 	 	 	 	97	 	 	 	 	21	 	 
Guarinos	2011										101					21		
Guarinos	2012										80							
Guarinos	2013										85							
Guarinos	2014										76					26		
Guarinos	2015										64					11		
