Localidade	Ano	Existentes/Federal	Existentes/Estadual	Existentes/Municipal	Existentes/Particular	Utilizadas/Federal	Utilizadas/Estadual	Utilizadas/Municipal	Utilizadas/Particular
Alexânia	2014		30	81	34		37	88	28
Alexânia	2015		33	106	38		37	98	30
Alexânia	2016		45	106	39		34	87	32
Alexânia	2017		45	104	38		35	94	30
Aloândia	2002		10	4					
Aloândia	2003		10	10					
Aloândia	2004		10	5					
Aloândia	2005		15	10					
Aloândia	2006		11	10					
Aloândia	2007		10	10					
Aloândia	2008		18	10			11	4	
Aloândia	2009		18	10			14	5	
Aloândia	2010		18	4			16	4	
Aloândia	2011		18	4			11	4	
Aloândia	2012		18	4			7	4	
Aloândia	2013		10	4			6	4	
Aloândia	2014		10	4			6	4	
Aloândia	2015		10	4			6	4	
Aloândia	2016		10	4			10	4	
Aloândia	2017		10	4			9	4	
Alto Horizonte	2002		8	10					
Alto Horizonte	2003		8	9					
Alto Horizonte	2004		8	9					
Alto Horizonte	2005		8	10					
Alto Horizonte	2006		8	10					
Alto Horizonte	2007		8	10					
Alto Horizonte	2008		18	10			9	10	
Alto Horizonte	2009		19	10			9	10	
Alto Horizonte	2010		18	10			8	14	
Alto Horizonte	2011		18	10			9	10	
Alto Horizonte	2012		18	36			11	36	
Alto Horizonte	2013		36	28			36	28	
Alto Horizonte	2014		18	35			6	32	
Alto Horizonte	2015		18	42			6	34	
Alto Horizonte	2016		20	35			9	24	
Alto Horizonte	2017		9	42			9	30	
Alto Paraíso de Goiás	2002		21	33	12				
Alto Paraíso de Goiás	2003		22	36	8				
Alto Paraíso de Goiás	2004		13	39	14				
Alto Paraíso de Goiás	2005		13	37	14				
Alto Paraíso de Goiás	2006		14	45	18				
Alto Paraíso de Goiás	2007		17	48	23				
Alto Paraíso de Goiás	2008		15	48	26		14	43	24
Alto Paraíso de Goiás	2009		15	55	26		15	49	27
Alto Paraíso de Goiás	2010		15	57	26		15	52	27
Alto Paraíso de Goiás	2011		15	55	25		15	55	28
Alto Paraíso de Goiás	2012		13	49	32		14	44	32
Alto Paraíso de Goiás	2013		13	50	45		16	45	27
Alto Paraíso de Goiás	2014		13	50	48		15	45	35
Alto Paraíso de Goiás	2015		13	50	50		13	45	32
Alto Paraíso de Goiás	2016		16	50	45		12	45	42
Alto Paraíso de Goiás	2017		16	47	47		11	40	42
Alvorada do Norte	2002		27	20	12				
Alvorada do Norte	2003		29	19	7				
Alvorada do Norte	2004		28	20	17				
Alvorada do Norte	2005		28	21	13				
Alvorada do Norte	2006		29	25	13				
Alvorada do Norte	2007		26	22	14				
Alvorada do Norte	2008		28	22	16		26	20	16
Alvorada do Norte	2009		28	29	9		24	28	9
Alvorada do Norte	2010		28	36	11		22	28	9
Alvorada do Norte	2011		26	35	11		21	35	12
Alvorada do Norte	2012		28	37	13		24	31	14
Alvorada do Norte	2013		21	37	13		23	27	14
Alvorada do Norte	2014		21	37	13		21	27	14
Alvorada do Norte	2015		22	40	12		19	30	12
Alvorada do Norte	2016		23	40	6		20	27	6
Alvorada do Norte	2017		21	44			20	32	
Amaralina	2002		10	27					
Amaralina	2003		13	36					
Amaralina	2004		10	31					
Amaralina	2005		15	37					
Amaralina	2006		10	34					
Amaralina	2007		15	38					
Amaralina	2008		11	36			9	38	
Amaralina	2009		11	34			12	36	
Amaralina	2010		11	33			8	35	
Amaralina	2011		11	39			12	39	
Amaralina	2012		11	35			12	35	
Amaralina	2013		11	28			12	28	
Amaralina	2014		11	30			12	29	
Amaralina	2015		11	29			11	29	
Amaralina	2016		23	29			8	28	
Amaralina	2017		17	29			8	27	
Americano do Brasil	2002		20	9					
Americano do Brasil	2003		20	9					
Americano do Brasil	2004		20	9					
Americano do Brasil	2005		20	9					
Americano do Brasil	2006		16	12					
Americano do Brasil	2007		16	11					
Americano do Brasil	2008		16	12			15	12	
Americano do Brasil	2009		16	12			15	13	
Americano do Brasil	2010		16	14			15	15	
Americano do Brasil	2011		16	16			14	16	
Americano do Brasil	2012		15	14			14	12	
Americano do Brasil	2013		14	15			14	14	
Americano do Brasil	2014		14	16			14	15	
Americano do Brasil	2015		14	16			14	15	
Americano do Brasil	2016		14	16			13	15	
Americano do Brasil	2017		14	16			14	16	
Amorinópolis	2002		20	9					
Amorinópolis	2003		19	10					
Amorinópolis	2004		19	7					
Amorinópolis	2005		21	9					
Amorinópolis	2006		19	12					
Amorinópolis	2007		15	13					
Amorinópolis	2008		15	11			13	9	
Amorinópolis	2009		15	11			13	11	
Amorinópolis	2010		15	11			13	14	
Amorinópolis	2011		16	11			14	11	
Amorinópolis	2012		16	11			14	9	
Amorinópolis	2013		16	11			13	9	
Amorinópolis	2014		16	13			15	9	
Amorinópolis	2015		16	13			14	9	
Amorinópolis	2016		16	13			14	9	
Amorinópolis	2017		16	12			14	9	
Anápolis	2002		651	483	665				
Anápolis	2003		610	521	608				
Anápolis	2004		470	511	704				
Anápolis	2005		462	521	752				
Anápolis	2006		457	577	775				
Anápolis	2007		477	585	737				
Anápolis	2008		606	628	766		496	611	697
Anápolis	2009		540	670	894		484	670	807
Anápolis	2010		513	684	889		472	691	804
Anhanguera	2002		5	4					
Anhanguera	2003		5	4					
Anhanguera	2004		6	4					
Anhanguera	2005		6	4					
Anhanguera	2006		6	4					
Anhanguera	2007		6	4					
Anhanguera	2008		6	6			4	6	
Anhanguera	2009		6	6			5	6	
Anhanguera	2010		6	6			4	6	
Anhanguera	2011		5	4			4	4	
Anhanguera	2012		5	4			4	9	
Anhanguera	2013		5	4			4	6	
Anhanguera	2014		5	6			4	8	
Anhanguera	2015		5	9			4	9	
Anhanguera	2016		5	9			4	9	
Anhanguera	2017		5	9			5	9	
Anicuns	2002		62	45	15				
Anicuns	2003		52	45	21				
Anicuns	2004		51	40	23				
Anicuns	2005		51	47	21				
Anicuns	2006		58	44	14				
Anicuns	2007		55	41	16				
Anicuns	2008		58	40	16		51	51	16
Anicuns	2009		58	42	16		48	52	16
Anicuns	2010		52	50	16		46	59	17
Anicuns	2011		50	51	15		46	51	15
Anicuns	2012		51	52	12		44	52	12
Anicuns	2013		51	52	12		48	68	7
Anicuns	2014		51	64	12		51	77	7
Anicuns	2015		51	64	14		48	59	9
Anicuns	2016		51	64	14		49	59	10
Anicuns	2017		51	65	12		49	65	8
Aparecida de Goiânia	2002		701	340	444				
Aparecida de Goiânia	2003		719	401	550				
Aparecida de Goiânia	2004		656	462	520				
Aparecida de Goiânia	2005		678	483	517				
Aparecida de Goiânia	2006		720	504	531				
Aparecida de Goiânia	2007		720	535	521				
Aparecida de Goiânia	2008		1057	558	545		798	566	514
Aparecida de Goiânia	2009		1099	575	583		748	597	607
Aparecida de Goiânia	2010		1043	574	680		763	590	696
Aparecida de Goiânia	2011		923	640	712		740	640	640
Aparecida do Rio Doce	2002		3	12					
Aparecida do Rio Doce	2003		4	12					
Aparecida do Rio Doce	2004		3	12					
Aparecida do Rio Doce	2005		4	15					
Aparecida do Rio Doce	2006		4	15					
Aparecida do Rio Doce	2007		4	15					
Aparecida do Rio Doce	2008		4	15			4	14	
Aparecida do Rio Doce	2009		4	14			4	14	
Aparecida do Rio Doce	2010		4	14			4	14	
Aparecida do Rio Doce	2011		4	14			4	14	
Aparecida do Rio Doce	2012		4	13			3	14	
Aparecida do Rio Doce	2013		4	21			3	20	
Aparecida do Rio Doce	2014		4	21			3	19	
Aparecida do Rio Doce	2015		4	22			3	20	
Aparecida do Rio Doce	2016		4	22			3	20	
Aparecida do Rio Doce	2017		4	22			4	20	
Aporé	2002		12	21					
Aporé	2003		12	20					
Aporé	2004		12	21					
Aporé	2005		12	20					
Aporé	2006		16	19					
Aporé	2007		12	23					
Aporé	2008		13	22			15	22	
Aporé	2009		13	22			17	24	
Aporé	2010		13	21			16	23	
Aporé	2011		13	23			15	23	
Aporé	2012		13	22			15	32	
Aporé	2013		13	21			16	31	
Aporé	2014		13	22			15	33	
Aporé	2015		13	21			15	34	
Aporé	2016		13	33			7	33	
Aporé	2017		13	32			8	32	
Araçu	2002		24	8					
Araçu	2003		17	8					
Araçu	2004		17	8					
Araçu	2005		18	8					
Araçu	2006		16	8					
Araçu	2007		18	8					
Araçu	2008		18	8			17	8	
Araçu	2009		18	8			16	7	
Araçu	2010		18	8			14	7	
Araçu	2011		18	8			14	8	
Araçu	2012		18	8			13	7	
Araçu	2013		17	8			13	7	
Araçu	2014		17	10			13	7	
Araçu	2015		17	10			13	8	
Araçu	2016		17	10			13	8	
Araçu	2017		17	10			12	8	
Aragarças	2002		68	33	17				
Aragarças	2003		67	30	18				
Aragarças	2004		64	43	16				
Aragarças	2005		65	45	10				
Aragarças	2006		67	46	9				
Aragarças	2007		60	45	8				
Aragarças	2008		71	48	9		62	52	9
Aragarças	2009		71	49	8		62	56	8
Aragarças	2010		66	45	8		58	50	8
Aragarças	2011		60	49	8		50	49	8
Aragarças	2012		60	59	6		46	54	6
Aragarças	2013		53	57	12		47	59	12
Aragarças	2014		55	56	12		52	65	13
Aragarças	2015		63	56	13		57	65	13
Aragarças	2016		63	74	14		57	58	14
Aragarças	2017		51	62	7		47	61	7
Aragoiânia	2002		17	26	7				
Aragoiânia	2003		14	26					
Aragoiânia	2004		14	27					
Aragoiânia	2005		15	27					
Aragoiânia	2006		16	29					
Aragoiânia	2007		14	28					
Aragoiânia	2008		18	28			16	27	
Aragoiânia	2009		18	27			14	26	
Aragoiânia	2010		18	27			14	26	
Aragoiânia	2011		16	27			15	27	
Aragoiânia	2012		16	28			14	27	
Aragoiânia	2013		16	28			14	27	
Aragoiânia	2014		14	30			14	29	
Aragoiânia	2015		14	30			14	30	
Aragoiânia	2016		16	31			13	31	
Aragoiânia	2017		16	31	8		13	31	8
Araguapaz	2002		21	23	12				
Araguapaz	2003		21	23	8				
Araguapaz	2004		21	22	3				
Araguapaz	2005		21	23	3				
Araguapaz	2006		21	25	4				
Araguapaz	2007		21	25	5				
Araguapaz	2008		18	24	11		17	25	9
Araguapaz	2009		18	24	9		16	21	7
Araguapaz	2010		23	24	10		28	21	8
Araguapaz	2011		13	27	10		13	27	8
Araguapaz	2012		14	28	11		13	21	8
Araguapaz	2013		14	33	11		14	26	9
Araguapaz	2014		14	31	6		13	29	4
Araguapaz	2015		14	32	6		14	32	4
Araguapaz	2016		14	32			14	29	
Araguapaz	2017		15	32			14	32	
Arenópolis	2002		10	20					
Arenópolis	2003		11	16					
Arenópolis	2004		10	15					
Arenópolis	2005		10	16					
Arenópolis	2006		10	20					
Arenópolis	2007		10	19					
Arenópolis	2008		10	19			10	17	
Arenópolis	2009		10	19			9	18	
Arenópolis	2010		10	19			8	18	
Arenópolis	2011		10	19			7	19	
Arenópolis	2012		10	19			7	18	
Arenópolis	2013		7	17			7	17	
Arenópolis	2014		7	19			7	17	
Arenópolis	2015		7	15			7	18	
Arenópolis	2016		7	18			7	22	
Arenópolis	2017		7	19			7	18	
Aruanã	2002		11	16	4				
Aruanã	2003		11	16	4				
Aruanã	2004		13	16	4				
Aruanã	2005		12	18	4				
Aruanã	2006		14	15	4				
Aruanã	2007		14	18	4				
Aruanã	2008		15	22	4		15	20	4
Aruanã	2009		15	21			15	21	
Aruanã	2010		16	21			16	21	
Aruanã	2011		17	27			17	27	
Aruanã	2012		17	33			16	26	
Aruanã	2013		17	35	10		17	31	10
Aruanã	2014		17	35	7		18	31	7
Aruanã	2015		17	37			18	28	
Aruanã	2016		19	37			18	31	
Aruanã	2017		21	38			19	32	
Aurilândia	2002		13	11					
Aurilândia	2003		12	10					
Aurilândia	2004		12	9					
Aurilândia	2005		12	7					
Aurilândia	2006		12	7					
Aurilândia	2007		12	9					
Aurilândia	2008		9	9			8	8	
Aurilândia	2009		10	7			9	7	
Aurilândia	2010		10	7			7	7	
Aurilândia	2011		10	7			7	7	
Aurilândia	2012		7	7			7	7	
Aurilândia	2013		8	7			7	7	
Aurilândia	2014		9	7			7	7	
Aurilândia	2015		9	8			7	8	
Aurilândia	2016		9	7			8	7	
Aurilândia	2017		9	7			8	7	
Avelinópolis	2002		10	12					
Avelinópolis	2003		10	12					
Avelinópolis	2004		10	12					
Avelinópolis	2005		10	10					
Avelinópolis	2006		10	9					
Avelinópolis	2007		10	10					
Avelinópolis	2008		11	9			7	9	
Avelinópolis	2009		11	10			8	1	
Avelinópolis	2010		11	10			7	8	
Avelinópolis	2011		10	10			7	10	
Avelinópolis	2012		11	13			8	8	
Avelinópolis	2013		11	16			9	18	
Avelinópolis	2014		10	20			9	20	
Avelinópolis	2015		10	13			8	11	
Avelinópolis	2016		10	21			10	10	
Avelinópolis	2017		10	21			10	20	
Baliza	2002		8	19					
Baliza	2003		11	15					
Baliza	2004		7	21					
Baliza	2005		12	21					
Baliza	2006		11	22					
Baliza	2007		10	21					
Baliza	2008		10	21			8	21	
Baliza	2009		10	22			7	22	
Baliza	2010		10	22			7	22	
Baliza	2011		18	17			17	17	
Baliza	2012		15	17			14	18	
Baliza	2013		18	18			15	18	
Baliza	2014		18	19			15	19	
Baliza	2015		18	23			15	19	
Baliza	2016		18	24			15	18	
Baliza	2017		18	23			15	18	
Barro Alto	2002		20	44					
Barro Alto	2003		19	46					
Barro Alto	2004		19	46					
Barro Alto	2005		20	41					
Barro Alto	2006		19	45	4				
Barro Alto	2007		19	43	5				
Barro Alto	2008		31	42	5		17	46	5
Barro Alto	2009		18	41	6		18	45	6
Barro Alto	2010		19	58	6		17	59	6
Barro Alto	2011		32	67	6		17	67	6
Barro Alto	2012		19	66	6		18	65	6
Barro Alto	2013		18	64	13		16	78	13
Barro Alto	2014		20	63	13		18	74	13
Barro Alto	2015		14	62	13		12	62	13
Barro Alto	2016		13	63	13		11	61	13
Barro Alto	2017		14	65	13		12	64	13
Bela Vista de Goiás	2002		32	63	50				
Bela Vista de Goiás	2003		31	62	47				
Bela Vista de Goiás	2004		58	46	36				
Bela Vista de Goiás	2005		49	47	47				
Bela Vista de Goiás	2006		51	56	47				
Bela Vista de Goiás	2007		50	43	29				
Bela Vista de Goiás	2008		62	39	38		54	41	28
Bela Vista de Goiás	2009		66	44	39		53	45	28
Bela Vista de Goiás	2010		69	45	34		51	46	28
Bela Vista de Goiás	2011		69	48	36		51	48	29
Bela Vista de Goiás	2012		54	48	38		50	49	32
Bela Vista de Goiás	2013		49	46	38		49	46	32
Bela Vista de Goiás	2014		51	51	38		49	66	33
Bela Vista de Goiás	2015		51	50	46		48	73	46
Bela Vista de Goiás	2016		51	67	46		49	64	44
Bela Vista de Goiás	2017		57	71	45		50	72	43
Bom Jardim de Goiás	2002		16	22	7				
Bom Jardim de Goiás	2003		18	19	7				
Bom Jardim de Goiás	2004		19	18	7				
Bom Jardim de Goiás	2005		20	17	7				
Bom Jardim de Goiás	2006		19	21	7				
Bom Jardim de Goiás	2007		25	9	7				
Bom Jardim de Goiás	2008		27	10	7		24	13	7
Bom Jardim de Goiás	2009		27	10	7		21	17	6
Bom Jardim de Goiás	2010		27	10	7		22	21	6
Bom Jardim de Goiás	2011		26	11	8		22	11	8
Bom Jardim de Goiás	2012		20	10	8		19	34	8
Bom Jardim de Goiás	2013		21	10	8		19	22	8
Bom Jardim de Goiás	2014		21	13	8		19	16	8
Bom Jardim de Goiás	2015		21	14	8		20	17	8
Bom Jardim de Goiás	2016		21	14	9		19	17	9
Bom Jardim de Goiás	2017		21	22	9		18	8	9
Bom Jesus de Goiás	2002		19	64	34				
Bom Jesus de Goiás	2003		19	57	34				
Bom Jesus de Goiás	2004		22	56	35				
Bom Jesus de Goiás	2005		23	61	30				
Bom Jesus de Goiás	2006		23	63	31				
Bom Jesus de Goiás	2007		21	80	31				
Bom Jesus de Goiás	2008		22	62	31		20	56	31
Bom Jesus de Goiás	2009		20	62	39		19	62	38
Bom Jesus de Goiás	2010		22	68	31		19	71	31
Bom Jesus de Goiás	2011		22	68	31		19	68	33
Bom Jesus de Goiás	2012		22	69	31		19	76	33
Bom Jesus de Goiás	2013		19	80	28		19	86	28
Bom Jesus de Goiás	2014		19	86	28		19	90	28
Bom Jesus de Goiás	2015		19	94	32		19	96	34
Bom Jesus de Goiás	2016		19	97	31		19	95	31
Bom Jesus de Goiás	2017		20	97	16		20	89	16
Bonfinópolis	2002		16	11	4				
Bonfinópolis	2003		17	12	4				
Bonfinópolis	2004		17	14	4				
Bonfinópolis	2005		17	18	4				
Bonfinópolis	2006		17	22					
Bonfinópolis	2007		17	23					
Bonfinópolis	2008		16	17			16	20	
Bonfinópolis	2009		16	22			16	22	
Bonfinópolis	2010		16	21			16	25	
Bonfinópolis	2011		16	25			16	25	
Bonfinópolis	2012		16	34			16	29	
Bonfinópolis	2013		15	27			15	26	
Bonfinópolis	2014		15	31			15	25	
Bonfinópolis	2015		16	34			16	32	
Bonfinópolis	2016		16	36			16	29	
Bonfinópolis	2017		16	37			16	28	
Bonópolis	2002		8	17					
Bonópolis	2003		8	27					
Bonópolis	2004		8	31					
Bonópolis	2005		8	29					
Bonópolis	2006		8	20					
Bonópolis	2007		8	19					
Bonópolis	2008		9	19			7	19	
Bonópolis	2009		9	20			8	19	
Bonópolis	2010		9	20			8	23	
Bonópolis	2011		9	23			7	23	
Bonópolis	2012		8	23			8	18	
Bonópolis	2013		8	23			8	19	
Bonópolis	2014		8	23			8	17	
Bonópolis	2015		8	23			7	16	
Bonópolis	2016		8	23			7	17	
Bonópolis	2017		8	22			8	16	
Brazabrantes	2002		15	4					
Brazabrantes	2003		16	4					
Brazabrantes	2004		17	5					
Brazabrantes	2005		13	9					
Brazabrantes	2006		12	9					
Brazabrantes	2007		12	9					
Brazabrantes	2008		12	9			10	9	
Brazabrantes	2009		12	9			11	9	
Brazabrantes	2010		11	9			11	9	
Brazabrantes	2011		12	9			11	9	
Brazabrantes	2012		13	8			12	8	
Brazabrantes	2013		13	8			12	9	
Brazabrantes	2014		13	8			12	9	
Brazabrantes	2015		13	11			12	11	
Brazabrantes	2016		13	11			12	11	
Brazabrantes	2017		13	12			12	12	
Britânia	2002		9	28	4				
Britânia	2003		22	16	4				
Britânia	2004		22	16	4				
Britânia	2005		22	16	4				
Britânia	2006		21	14	4				
Britânia	2007		21	13	10				
Britânia	2008		21	13	5		19	11	7
Britânia	2009		22	11	5		15	11	7
Britânia	2010		22	10	5		15	13	7
Britânia	2011		22	12	5		17	12	7
Britânia	2012		18	18	5		14	17	7
Britânia	2013		15	11			13	16	
Britânia	2014		12	10			11	15	
Britânia	2015		12	17			12	16	
Britânia	2016		12	17			11	17	
Britânia	2017		12	24			12	23	
Buriti Alegre	2002		42	8	12				
Buriti Alegre	2003		44	13	14				
Buriti Alegre	2004		42	15	16				
Buriti Alegre	2005		38	16	19				
Buriti Alegre	2006		37	19	14				
Buriti Alegre	2007		32	18	16				
Buriti Alegre	2008		32	18	16		29	14	15
Buriti Alegre	2009		32	17	15		27	17	15
Buriti Alegre	2010		33	18	14		27	23	9
Buriti Alegre	2011		33	31	9		27	31	9
Buriti Alegre	2012		32	31	9		27	29	7
Buriti Alegre	2013		32	29	9		30	27	7
Buriti Alegre	2014		32	30			29	38	
Buriti Alegre	2015		32	31			31	30	
Buriti Alegre	2016		33	38	12		32	33	9
Buriti Alegre	2017		33	42	9		32	37	9
Buriti de Goiás	2002		14	13					
Buriti de Goiás	2003		14	16					
Buriti de Goiás	2004		8	16					
Buriti de Goiás	2005		8	16					
Buriti de Goiás	2006		8	16					
Buriti de Goiás	2007		8	10					
Buriti de Goiás	2008		8	10			7	8	
Buriti de Goiás	2009		8	10			6	8	
Buriti de Goiás	2010		8	10			6	10	
Buriti de Goiás	2011		8	10			7	10	
Buriti de Goiás	2012		8	10			7	11	
Buriti de Goiás	2013		8	11			7	7	
Buriti de Goiás	2014		8	11			7	9	
Buriti de Goiás	2015		8	11			8	9	
Buriti de Goiás	2016		8	13			7	11	
Buriti de Goiás	2017		8	13			7	11	
Buritinópolis	2002		12	15					
Buritinópolis	2003		11	15					
Buritinópolis	2004		12	14					
Buritinópolis	2005		14	13					
Buritinópolis	2006		9	23					
Buritinópolis	2007		9	20					
Buritinópolis	2008		7	20			11	19	
Buritinópolis	2009		7	21			9	17	
Buritinópolis	2010		7	18			9	17	
Buritinópolis	2011		7	17			8	17	
Buritinópolis	2012		7	17			7	17	
Buritinópolis	2013		7	17			7	16	
Buritinópolis	2014		7	21			6	15	
Buritinópolis	2015		7	27			6	13	
Buritinópolis	2016		7	27			6	13	
Buritinópolis	2017		7	26			6	17	
Cabeceiras	2002		32	24	3				
Cabeceiras	2003		30	23	3				
Cabeceiras	2004		31	22	3				
Cabeceiras	2005		31	22	3				
Cabeceiras	2006		28	26	3				
Cabeceiras	2007		29	30	4				
Cabeceiras	2008		33	31	4		29	30	4
Cabeceiras	2009		33	32	4		24	34	4
Cabeceiras	2010		29	32	4		20	35	4
Cabeceiras	2011		29	25	7		22	25	7
Cabeceiras	2012		26	25	5		19	30	5
Cabeceiras	2013		24	33	5		18	38	5
Cabeceiras	2014		25	33	5		19	31	5
Cabeceiras	2015		26	34	5		20	32	5
Cabeceiras	2016		26	35	5		21	32	5
Cabeceiras	2017		26	35	5		25	35	5
Cachoeira Alta	2002		33	25	4				
Cachoeira Alta	2003		27	25	5				
Cachoeira Alta	2004		28	24	5				
Cachoeira Alta	2005		26	24	5				
Cachoeira Alta	2006		27	25	5				
Cachoeira Alta	2007		27	27	5				
Cachoeira Alta	2008		45	27	6		42	27	6
Cachoeira Alta	2009		47	27	6		39	28	6
Cachoeira Alta	2010		67	23	6		38	24	6
Cachoeira Alta	2011		23	23	6		26	23	6
Cachoeira Alta	2012		60	25	6		26	25	6
Cachoeira Alta	2013		22	28	6		25	28	6
Cachoeira Alta	2014		23	36	6		25	36	6
Cachoeira Alta	2015		28	35	6		28	33	6
Cachoeira Alta	2016		28	35	6		23	33	6
Cachoeira Alta	2017		23	35	6		20	33	6
Cachoeira de Goiás	2002		6	1					
Cachoeira de Goiás	2003		6	1					
Cachoeira de Goiás	2004		6	2					
Cachoeira de Goiás	2005		7	2					
Cachoeira de Goiás	2006		7	3					
Cachoeira de Goiás	2007		7	2					
Cachoeira de Goiás	2008		11	2			6	2	
Cachoeira de Goiás	2009		13	2			5	2	
Cachoeira de Goiás	2010		11	2			5	2	
Cachoeira de Goiás	2011		11	2			5	2	
Cachoeira de Goiás	2012		9	3			6	3	
Cachoeira de Goiás	2013		5	3			5	2	
Cachoeira de Goiás	2014		6	3			5	3	
Cachoeira de Goiás	2015		6	3			4	3	
Cachoeira de Goiás	2016		9	3			9	3	
Cachoeira de Goiás	2017		9	3			8	3	
Cachoeira Dourada	2002		10	44	12				
Cachoeira Dourada	2003		9	53	3				
Cachoeira Dourada	2004		10	63	3				
Cachoeira Dourada	2005		10	59	10				
Cachoeira Dourada	2006		12	57	10				
Cachoeira Dourada	2007		10	63	14				
Cachoeira Dourada	2008		13	63	14		12	57	4
Cachoeira Dourada	2009		13	63	14		12	57	3
Cachoeira Dourada	2010		13	64	14		10	54	2
Cachoeira Dourada	2011		16	65	14		13	65	1
Cachoeira Dourada	2012		16	61			9	51	
Cachoeira Dourada	2013		7	62			9	51	
Cachoeira Dourada	2014		9	62			9	53	
Cachoeira Dourada	2015		9	66			9	63	
Cachoeira Dourada	2016		10	67			10	65	
Cachoeira Dourada	2017		14	62			12	57	
Caçu	2002		25	32	22				
Caçu	2003		13	40	27				
Caçu	2004		13	39	28				
Caçu	2005		12	36	29				
Caçu	2006		12	40	29				
Caçu	2007		11	35	29				
Caçu	2008		11	35	29		10	39	27
Caçu	2009		11	36	25		10	45	25
Caçu	2010		10	44	25		10	49	25
Caçu	2011		11	44	25		9	44	25
Caçu	2012		11	45	19		9	35	19
Caçu	2013		12	52	19		11	40	19
Caçu	2014		12	50	18		11	38	18
Caçu	2015		12	49	25		11	37	25
Caçu	2016		8	48	25		8	35	25
Caçu	2017		8	51	19		8	38	19
Caiapônia	2002		42	34	15				
Caiapônia	2003		42	44	12				
Caiapônia	2004		35	45	7				
Caiapônia	2005		33	53	7				
Caiapônia	2006		33	61	14				
Caiapônia	2007		31	55	7				
Caiapônia	2008		42	54	14		31	51	14
Caiapônia	2009		51	53	14		40	50	13
Caiapônia	2010		52	56	14		45	50	13
Caiapônia	2011		52	55	7		44	55	7
Caiapônia	2012		41	53	14		41	49	14
Caiapônia	2013		41	52	7		41	48	7
Caiapônia	2014		41	54	9		41	52	7
Caiapônia	2015		41	55	9		40	54	7
Caiapônia	2016		41	56	9		41	54	7
Caiapônia	2017		41	65	9		41	60	8
Caldas Novas	2002		101	111	117				
Caldas Novas	2003		88	122	118				
Caldas Novas	2004		86	123	149				
Caldas Novas	2005		86	123	167				
Caldas Novas	2006		87	159	162				
Caldas Novas	2007		88	188	138				
Caldas Novas	2008		102	211	179		93	207	146
Caldas Novas	2009		103	221	185		92	217	151
Caldas Novas	2010		102	229	196		93	223	166
Caldas Novas	2011		98	214	218		87	214	181
Caldas Novas	2012		90	222	204		86	212	169
Caldas Novas	2013		90	228	209		88	223	178
Caldas Novas	2014		88	225	220		87	224	187
Caldas Novas	2015		93	242	203		91	243	186
Caldas Novas	2016		94	277	224		90	260	201
Caldas Novas	2017		109	263	254		107	258	226
Caldazinha	2002		8	9					
Caldazinha	2003		8	13					
Caldazinha	2004		8	13					
Caldazinha	2005		8	13					
Caldazinha	2006		10	20					
Caldazinha	2007		7	14					
Caldazinha	2008		19	14			9	14	
Caldazinha	2009		19	10			9	10	
Caldazinha	2010		19	10			7	13	
Caldazinha	2011		19	11			10	11	
Caldazinha	2012		7	12			7	11	
Caldazinha	2013		7	12			7	11	
Caldazinha	2014		7	12			7	13	
Caldazinha	2015		7	12			7	13	
Caldazinha	2016		7	11			7	11	
Caldazinha	2017		7	13			7	13	
Campestre de Goiás	2002		8	9					
Campestre de Goiás	2003		7	8					
Campestre de Goiás	2004		8	10					
Campestre de Goiás	2005		8	9					
Campestre de Goiás	2006		7	11					
Campestre de Goiás	2007		8	9					
Campestre de Goiás	2008		12	12			9	10	
Campestre de Goiás	2009		18	14			7	12	
Campestre de Goiás	2010		18	14			8	13	
Campestre de Goiás	2011		18	15			7	15	
Campestre de Goiás	2012		15	15			7	15	
Campestre de Goiás	2013		8	14			8	14	
Campestre de Goiás	2014		8	14			7	14	
Campestre de Goiás	2015		8	15			7	15	
Campestre de Goiás	2016		8	15			8	15	
Campestre de Goiás	2017		8	15			8	15	
Campinaçu	2002		9	19					
Campinaçu	2003		9	20					
Campinaçu	2004		10	23					
Campinaçu	2005		10	24					
Campinaçu	2006		9	32					
Campinaçu	2007		10	25					
Campinaçu	2008		21	18			14	22	
Campinaçu	2009		21	23			12	29	
Campinaçu	2010		21	23			10	24	
Campinaçu	2011		21	23			15	23	
Campinaçu	2012		21	23			10	33	
Campinaçu	2013		10	18			10	25	
Campinaçu	2014		10	18			10	26	
Campinaçu	2015		10	18			10	29	
Campinaçu	2016		16	18			11	18	
Campinaçu	2017		17	19			12	19	
Campinorte	2002		23	37	5				
Campinorte	2003		23	38	5				
Campinorte	2004		23	36	4				
Campinorte	2005		23	35	4				
Campinorte	2006		23	36	5				
Campinorte	2007		20	37	5				
Campinorte	2008		34	37	5		25	36	5
Campinorte	2009		41	35	5		21	34	5
Campinorte	2010		42	33	6		27	33	6
Campinorte	2011		42	34	6		25	34	6
Campinorte	2012		42	34	6		25	34	6
Campinorte	2013		42	34	6		26	33	6
Campinorte	2014		43	35	6		23	35	6
Campinorte	2015		23	35	7		22	33	7
Campinorte	2016		43	35	7		24	25	7
Campinorte	2017		43	35	7		25	38	7
Campo Alegre de Goiás	2002		10	32					
Campo Alegre de Goiás	2003		10	26					
Campo Alegre de Goiás	2004		10	29					
Campo Alegre de Goiás	2005		10	32					
Campo Alegre de Goiás	2006		10	36					
Campo Alegre de Goiás	2007		11	32					
